iter	Passed	Remaining
411	3372	4813
412	3380	4804
413	3388	4796
414	3396	4787
415	3405	4780
416	3413	4772
417	3421	4764
418	3429	4755
419	3437	4747
420	3444	4737
421	3452	4728
422	3460	4719
423	3467	4710
424	3475	4701
425	3483	4693
426	3490	4684
427	3498	4675
428	3506	4667
429	3514	4659
430	3522	4650
431	3530	4642
432	3539	4634
433	3547	4626
434	3555	4618
435	3563	4610
436	3572	4602
437	3580	4594
438	3589	4586
439	3597	4578
440	3605	4570
441	3613	4561
442	3621	4553
443	3629	4544
444	3637	4536
445	3645	4528
446	3653	4520
447	3661	4511
448	3670	4504
449	3678	4496
450	3687	4488
451	3696	4481
452	3704	4472
453	3712	4465
454	3720	4456
455	3727	4447
456	3735	4438
457	3743	4430
458	3751	4421
459	3759	4413
460	3767	4404
461	3774	4395
462	3782	4387
463	3790	4378
464	3798	4370
465	3807	4362
466	3815	4354
467	3822	4345
468	3831	4337
469	3838	4328
470	3849	4323
471	3860	4319
472	3870	4311
473	3878	4304
474	3890	4300
475	3900	4293
476	3909	4285
477	3917	4277
478	3925	4269
479	3934	4262
480	3942	4253
481	3950	4246
482	3958	4237
483	3967	4229
484	3975	4221
485	3984	4214
486	3992	4205
487	4000	4197
488	4008	4189
489	4016	4180
490	4024	4172
491	4033	4164
492	4041	4156
493	4049	4147
494	4057	4139
495	4066	4131
496	4074	4123
497	4082	4115
498	4090	4106
499	4098	4098
500	4106	4090
501	4115	4082
502	4123	4074
503	4132	4066
504	4139	4057
505	4148	4049
506	4156	4041
507	4164	4033
508	4172	4025
509	4181	4017
510	4189	4009
511	4198	4001
512	4206	3993
513	4215	3985
514	4223	3977
515	4231	3969
516	4239	3960
517	4248	3952
518	4256	3944
519	4264	3936
520	4273	3928
521	4281	3920
522	4290	3912
523	4298	3904
524	4307	3897
525	4315	3888
526	4324	3880
527	4332	3873
528	4341	3865
529	4350	3858
530	4359	3850
531	4367	3842
532	4376	3834
533	4384	3826
534	4393	3818
535	4400	3809
536	4409	3801
537	4417	3793
538	4425	3784
539	4432	3776
540	4441	3767
541	4449	3759
542	4457	3751
543	4465	3743
544	4474	3735
545	4481	3726
546	4490	3718
547	4498	3710
548	4507	3702
549	4515	3694
550	4524	3686
551	4532	3678
552	4540	3670
553	4549	3662
554	4557	3654
555	4565	3645
556	4572	3636
557	4580	3628
558	4588	3619
559	4596	3611
560	4605	3603
561	4613	3595
562	4622	3587
563	4630	3579
564	4638	3571
565	4646	3563
566	4655	3555
567	4664	3547
568	4672	3539
569	4680	3531
570	4689	3523
571	4698	3515
572	4706	3507
573	4715	3499
574	4723	3491
575	4732	3483
576	4740	3475
577	4749	3467
578	4757	3459
579	4767	3452
580	4775	3444
581	4784	3436
582	4794	3429
583	4803	3421
584	4811	3413
585	4820	3405
586	4829	3398
587	4839	3390
588	4848	3383
589	4857	3375
590	4866	3367
591	4875	3360
592	4884	3352
593	4892	3344
594	4901	3336
595	4911	3329
596	4920	3321
597	4929	3313
598	4941	3307
599	4950	3300
600	4959	3292
601	4968	3284
602	4976	3276
603	4985	3268
604	4993	3260
605	5001	3251
606	5009	3243
607	5018	3235
608	5027	3227
609	5036	3219
610	5044	3211
611	5053	3203
612	5061	3195
613	5070	3187
614	5078	3179
615	5087	3171
616	5095	3163
617	5104	3155
618	5113	3147
619	5121	3138
620	5129	3130
621	5137	3122
622	5145	3113
623	5158	3108
624	5171	3102
625	5181	3095
626	5191	3088
627	5201	3081
628	5210	3073
629	5219	3065
630	5227	3057
631	5235	3048
632	5244	3040
633	5253	3032
634	5261	3024
635	5269	3015
636	5278	3007
637	5286	2999
638	5294	2991
639	5303	2983
640	5311	2974
641	5319	2966
642	5327	2957
643	5335	2949
644	5343	2941
645	5352	2932
646	5360	2924
647	5369	2916
648	5377	2908
649	5386	2900
650	5394	2891
651	5402	2883
652	5411	2875
653	5419	2867
654	5428	2859
655	5436	2851
656	5445	2842
657	5453	2834
658	5461	2826
659	5468	2816
660	5475	2808
661	5484	2800
662	5491	2791
663	5500	2783
664	5508	2774
665	5517	2766
666	5526	2758
667	5534	2750
668	5543	2742
669	5551	2734
670	5561	2726
671	5569	2718
672	5578	2710
673	5586	2702
674	5595	2694
675	5605	2686
676	5614	2678
677	5623	2670
678	5632	2662
679	5641	2654
680	5649	2646
681	5658	2638
682	5666	2630
683	5675	2622
684	5683	2613
685	5692	2605
686	5701	2597
687	5710	2589
688	5719	2581
689	5728	2573
690	5736	2565
691	5744	2557
692	5753	2548
693	5761	2540
694	5770	2532
695	5780	2524
696	5788	2516
697	5796	2508
698	5805	2499
699	5812	2491
700	5821	2483
701	5830	2475
702	5839	2466
703	5847	2458
704	5855	2450
705	5863	2441
706	5872	2433
707	5881	2425
708	5889	2417
709	5897	2408
710	5906	2400
711	5913	2392
712	5922	2383
713	5932	2376
714	5940	2368
715	5949	2359
716	5958	2351
717	5966	2343
718	5975	2335
719	5983	2326
720	5992	2318
721	6000	2310
722	6008	2302
723	6016	2293
724	6025	2285
725	6033	2277
726	6041	2268
727	6050	2260
728	6058	2252
729	6066	2243
730	6075	2235
731	6083	2227
732	6092	2219
733	6101	2211
734	6109	2202
735	6118	2194
736	6126	2186
737	6133	2177
738	6141	2169
739	6150	2161
740	6158	2152
741	6167	2144
742	6176	2136
743	6185	2128
744	6194	2120
745	6203	2112
746	6213	2104
747	6221	2096
748	6230	2087
749	6238	2079
750	6247	2071
751	6255	2062
752	6263	2054
753	6271	2046
754	6279	2037
755	6288	2029
756	6296	2021
757	6305	2013
758	6314	2005
759	6322	1996
760	6331	1988
761	6340	1980
762	6349	1972
763	6357	1963
764	6366	1955
765	6375	1947
766	6383	1939
767	6392	1930
768	6401	1922
769	6410	1914
770	6419	1906
771	6428	1898
772	6436	1890
773	6445	1882
774	6454	1873
775	6462	1865
776	6471	1857
777	6478	1848
778	6487	1840
779	6495	1832
780	6504	1823
781	6513	1815
782	6521	1807
783	6529	1798
784	6537	1790
785	6546	1782
786	6554	1773
787	6563	1765
788	6571	1757
789	6580	1749
790	6588	1740
791	6597	1732
792	6606	1724
793	6615	1716
794	6625	1708
795	6634	1700
796	6643	1692
797	6651	1683
798	6660	1675
799	6669	1667
800	6677	1658
801	6685	1650
802	6694	1642
803	6702	1634
804	6711	1625
805	6719	1617
806	6729	1609
807	6738	1601
808	6746	1592
809	6755	1584
810	6765	1576
811	6774	1568
812	6783	1560
813	6792	1552
814	6800	1543
815	6809	1535
816	6817	1527
817	6826	1518
818	6835	1510
819	6843	1502
820	6852	1493
821	6861	1485
822	6869	1477
823	6879	1469
824	6888	1461
825	6896	1452
826	6906	1444
827	6914	1436
828	6923	1428
829	6933	1420
830	6941	1411
831	6949	1403
832	6958	1395
833	6966	1386
834	6975	1378
835	6983	1369
836	6991	1361
837	7000	1353
838	7008	1344
839	7017	1336
840	7026	1328
841	7035	1320
842	7044	1312
843	7054	1303
844	7062	1295
845	7071	1287
846	7079	1278
847	7088	1270
848	7096	1262
849	7105	1253
850	7113	1245
851	7122	1237
852	7131	1228
853	7139	1220
854	7147	1212
855	7157	1204
856	7165	1195
857	7174	1187
858	7183	1179
859	7192	1170
860	7200	1162
861	7209	1154
862	7217	1145
863	7226	1137
864	7235	1129
865	7244	1120
866	7253	1112
867	7262	1104
868	7270	1096
869	7279	1087
870	7287	1079
871	7296	1071
872	7305	1062
873	7314	1054
874	7323	1046
875	7332	1037
876	7341	1029
877	7349	1021
878	7358	1012
879	7366	1004
880	7375	996
881	7384	987
882	7393	979
883	7402	971
884	7410	962
885	7419	954
886	7427	946
887	7436	937
888	7444	929
889	7455	921
890	7465	913
891	7473	904
892	7482	896
893	7490	888
894	7499	879
895	7507	871
896	7515	863
897	7524	854
898	7533	846
899	7541	837
900	7550	829
901	7558	821
902	7567	812
903	7575	804
904	7584	796
905	7592	787
906	7601	779
907	7610	771
908	7618	762
909	7626	754
910	7635	745
911	7644	737
912	7653	729
913	7662	720
914	7671	712
915	7680	704
916	7689	695
917	7698	687
918	7706	679
919	7715	670
920	7724	662
921	7732	654
922	7741	645
923	7750	637
924	7760	629
925	7768	620
926	7777	612
927	7786	604
928	7795	595
929	7804	587
930	7813	579
931	7821	570
932	7830	562
933	7839	553
934	7848	545
935	7856	537
936	7865	528
937	7873	520
938	7882	512
939	7891	503
940	7900	495
941	7909	486
942	7917	478
943	7927	470
944	7936	461
945	7945	453
946	7953	445
947	7962	436
948	7970	428
949	7979	419
950	7988	411
951	7997	403
952	8006	394
953	8015	386
954	8024	378
955	8032	369
956	8042	361
957	8051	352
958	8059	344
959	8067	336
960	8076	327
961	8084	319
962	8094	310
963	8102	302
964	8111	294
965	8119	285
966	8128	277
967	8136	268
968	8144	260
969	8153	252
970	8162	243
971	8170	235
972	8179	226
973	8188	218
974	8197	210
975	8206	201
976	8214	193
977	8223	184
978	8232	176
979	8240	168
980	8248	159
981	8256	151
982	8264	142
983	8273	134
984	8282	126
985	8291	117
986	8299	109
987	8308	100
988	8317	92
989	8326	84
990	8335	75
991	8345	67
992	8355	58
993	8364	50
994	8373	42
995	8381	33
996	8391	25
997	8400	16
998	8409	8
999	8418	0
