iter	Logloss
0	0.6018161998
1	0.5020757058
2	0.447247122
3	0.4028688985
4	0.3674734303
5	0.3397845821
6	0.3121211576
7	0.2917500537
8	0.2749039253
9	0.2575190281
10	0.2473690686
11	0.2377534494
12	0.2279311726
13	0.2212510092
14	0.2100356991
15	0.2025732075
16	0.1942300452
17	0.1877936723
18	0.183238008
19	0.1797365292
20	0.1766269463
21	0.17248338
22	0.1681075624
23	0.1659676447
24	0.1636304747
25	0.1615296836
26	0.1591232896
27	0.1572187935
28	0.1557160626
29	0.1541992297
30	0.1527116898
31	0.1511749877
32	0.1495154791
33	0.1482198687
34	0.1447921564
35	0.1437618314
36	0.142830742
37	0.1418335
38	0.1405886102
39	0.1393058482
40	0.1385383642
41	0.1375509694
42	0.1366824809
43	0.1355866869
44	0.1348424066
45	0.1341397769
46	0.1333259231
47	0.1326901048
48	0.1317164418
49	0.1311110122
50	0.1306238225
51	0.1296046315
52	0.1289204748
53	0.1284486817
54	0.1279527373
55	0.1270088793
56	0.1264844915
57	0.1261748195
58	0.1257914888
59	0.1251890196
60	0.1230645435
61	0.1223114403
62	0.1217843096
63	0.1214085379
64	0.1201224606
65	0.1197293223
66	0.1193807708
67	0.1189117582
68	0.1182161751
69	0.1174665215
70	0.1168320634
71	0.1153768886
72	0.1150144497
73	0.114465581
74	0.1142430304
75	0.1138777396
76	0.1129420427
77	0.1120861809
78	0.1117525718
79	0.1114332708
80	0.1110191242
81	0.1108481266
82	0.1106339681
83	0.1104477549
84	0.1101045428
85	0.1098157024
86	0.1095955771
87	0.1093278703
88	0.1090298036
89	0.1088157234
90	0.1079780645
91	0.1078662301
92	0.1076193876
93	0.1073584905
94	0.1071188028
95	0.1063362206
96	0.1057844002
97	0.1056289446
98	0.1053076667
99	0.1049512908
100	0.1046325259
101	0.1041884308
102	0.1034722022
103	0.1032252105
104	0.1030648723
105	0.1028876976
106	0.1026053128
107	0.1024345034
108	0.1019657056
109	0.1017337135
110	0.1017337063
111	0.1014546433
112	0.1011295803
113	0.100943481
114	0.1007908273
115	0.1006400399
116	0.1004440573
117	0.100051187
118	0.09974095989
119	0.0995576689
120	0.09939986234
121	0.09929248162
122	0.09915543575
123	0.09901337091
124	0.09891467038
125	0.09871772443
126	0.09861895973
127	0.09838807699
128	0.09831271473
129	0.09815082874
130	0.09790276636
131	0.09777602303
132	0.09756008121
133	0.09739690403
134	0.09696087702
135	0.09690202245
136	0.09684319172
137	0.09663968318
138	0.09654204986
139	0.09631366027
140	0.09610565871
141	0.09558891461
142	0.09528007107
143	0.09514599089
144	0.09498668565
145	0.09482552499
146	0.09470698343
147	0.094568281
148	0.09435034452
149	0.09430393921
150	0.09410538092
151	0.09396740294
152	0.09385103387
153	0.09376282707
154	0.09361773638
155	0.09347080326
156	0.09311401125
157	0.09302192384
